"","user","tweet","lokasi"
"210","esterangelin22","sepatu sneakers senam wanita model korea import link","Kalimantan Barat, Indonesia"
"211","esterangelin22","sepatu sneakers cewek casual import korea link","Kalimantan Barat, Indonesia"
"212","KaswatiNc","sneakers corner sepatu boots wanita sneakers boots","Indonesia"
"213","esterangelin22","rekomendasi sepatu sneakers wanita a thread","Kalimantan Barat, Indonesia"
"214","Fita_Shanty","wajah ibu iriana itu bersahaja dan berkharisma siapapun yang memandang enggak akan bosan style beliau itu aku banget cuek dengan apa yang kita pakai karena kita merasa nyaman apalagi pas pakai sepatu sneaker celana dan kemeja cool banget menurutku entah kalo menurut orang lain",""
"215","id_racunshopee","aerostreet fresh lemon natural merah muda krem sepatu sneakers casual sport pria wanita aero street diskon","Jakarta"
"216","masitowae","promo diskon elira yura cream sepatu sneakers wanita diskon checkout sekarang","Kediri, Jawa Timur"
"217","id_myfashion","flash sale leedoo sepatu pria sneakers casual fashion terbaru sport running shoes mr diskon checkout sekarang","Indonesia"
"218","itobf1","promo diskon giocardin lah clear white sepatu pria sepatu sneakers putih diskon checkout sekarang",""
"219","masitowae","promo diskon dari kevin sepatu wanita sport women sneakers putih white combination diskon checkout sekarang","Kediri, Jawa Timur"
"220","nirmalsalsabila","promo diskon justlook seulgi sepatu sneakers wanita sneakers shoes import diskon checkout sekarang",""
"221","samaira_nafisa","promo diskon otiv neo bianca dark brown sepatu sneakers kulit asli pria diskon checkout sekarang",""
"222","hamidolshop","promo sepatu sneaker trend terbaru dan terpopuler chx dengan harga rp dapatkan di shopee sekarang","West Java, Indonesia"
"223","qyuu___","kumpulan sepatu sneakers hak tinggi a thread",""
"224","vidyaisvara","promo diskon pvn jinyoung low sepatu sneakers wanita sport shoes diskon checkout sekarang",""
"225","dedenbestinme","coba cek ini deh polla polly tzuyu black sepatu sneakers sport wanita model korea rp di toko polla polly tokopedia bisa bebas ongkir lho","DKI Jakarta, Indonesia"
"226","dedenbestinme","coba cek ini deh justlook saebyeok sepatu docmart sneakers wanita sneakers shoes glossy rp di toko justlook official store tokopedia bisa bebas ongkir lho","DKI Jakarta, Indonesia"
