"","user","tweet","lokasi"
"149","bhipray","allah mengasih daun tembakau untuk dinikmati dan biji kopi untuk diminum bukan di art apalagi ada logo pdi",""
"150","endomikuah","coffeeshop yang makanannya lucu kayak dikorea",""
"151","endomikuah","regardless of gender tapi memang seram kalo orangnya memang toxic",""
"152","UberSuperDong","sebagai tukang kopi gue sudah coba banyak tempat dan racik banyak menu dari bermacam biji kopi tapi es kopi susu yang paling enak justru bukan gue temuin di coffee shop tapi di camera shop signature coffee ada choc n mocha juga di jpc kemang itu yang paling enak foto dari google","The Big Durian"
"153","endomikuah","fesss tergantung sih yang penting bukan aliran ekstrim atau sesat",""
"154","endomikuah","fesss meditasi nder dengarkan peace sea podcast di spotify sambil nanges",""
"155","endomikuah","fesss if i aint got you",""
"156","endomikuah","fesss mending mengomong saja nder langsung bilang kalo pengin juga diposesifin wkwkw tapi mengomongnya jangan menyerang baik baik saja no expectation sapa tau dia tergerak",""
"157","endomikuah","fesss ewwww big no nder set your boundaries",""
"158","endomikuah","fesss kayaknya mending dirunding saja sama suami secara terbuka nder enaknya bagaimana dicari jalan tengah menurut aku kamu enggak harus mengubah diri buat fit ini sih tapi tergantung sikon juga",""
"159","endomikuah","fesss kalo aku pribadi big no sih soalnya kalo disuruh dan ternyata enggak srek bakal kesel sampai nanti nantinya dan akan keungkit terus apalagi soal hubungan diri sama tuhan kalo enggak genuine dimulai dari hati sendiri tuh bakal ganjel sampai kapanpun",""
"160","perpusuinjkt","mitigasi risiko usaha roasting biji kopi pada sudah doma dona jakarta selatan","Jl Ir. H. Juanda 95, Ciputat"
"161","adeseaji","biji kopi lebih sabi kayaknya",""
"162","haluhalubadung","kopi khop khas meulaboh kopinya disajikan dalam gelas terbalik kopinya juga masih biji kasar begitu kopi sumatera memang enak cara minumnya kalo mau cepat tarik sedotannya tempelin sedotan ke ujung gelas tiup sampai udaranya masuk ke gelas dan kopinya keluar dikitdikit","where in the world"
"163","endomikuah","kalo fg enggak ada pengalaman tapi ada sertif bootcamp begitu bisa jadi pertimbangan enggak kak",""
"164","PitpitOlympid","americano houseblendnya sbux atau bikin cold brew sendiri pakai biji kopi apa saja yang medium roasted",""
"165","endomikuah","sertif bootcamp begitu ngaruh enggak kak",""
"166","AcehInfo","hasilkan biji kopi berkualitas indonesia cafco bantu para petani aceh utara","Banda Aceh"
"167","adzni_","jenis biji kopi ya bob",""
"168","endomikuah","enggak",""
"169","endomikuah","im sorry for existing",""
"170","endomikuah","gue enggak meminta apa apa anjir",""
"171","endomikuah","nder salah fokus ruangan kamu bagus banget",""
"172","endomikuah","terus yang mengerti gue siapa siapa gue tanya",""
"173","endomikuah","mintanya dingertiin terus sebenarnya mana yang orang tua mana yang anak sih",""
"174","endomikuah","kurang mengalah apa saya selama ini",""
"175","endomikuah","nderrr kamu mam cabe topping mi",""
"176","endomikuah","bagaimana saya bisa menjadi orang yang namaste kalrm lemah lembut kalo begini caranya",""
"177","endomikuah","dih",""
"178","maharyaloka","pilih dulu jenis biji kopi kesukaanmu","Kota Surabaya, Jawa Timur"
"179","KhemahKopi","hahahahahahahaha kita hantar biji kopi okay kak","Kedah"
"180","maharyaloka","tentukan jenis biji kopimu varian racikannya dan tambahan snack di kolom menu setelah menentukan pilihan dm ke barista yang bertugas dengan format username penerima menu pesanan jenis kopi racikan snack lain pengirim notes","Kota Surabaya, Jawa Timur"
"181","maharyaloka","isi reply kolom buku tamu barista akan menghampirimu kamu akan ditanya mau memilih varian biji kopi apa jenis racikan kopi serta tambahan snack semuanya bisa kamu lihat di menu lakukan pembayaran di kasir yang akan diarahkan oleh barista","Kota Surabaya, Jawa Timur"
"182","HeriMul20295823","saja coffee kopi gayo natural gr pirt no sertifikat halal biji kopi sertifikat halalbubuk kopi yuk beli sekarang harga rp",""
"183","endomikuah","anjir wkwkwk",""
"184","endomikuah","love language aku receiving duit",""
"185","endomikuah","pasti baca love languagenya words of affirmation sama physical touch",""
"186","aelgoritma","palanya kayak biji kopi anjrit","<U+24D8> <U+BC0D><U+D0A4> <U+ACF5><U+B4C0><U+0001F9E1>"
"187","kbrimoskow","gerai indonesia secara khusus menampilkan biji kopi premium dan produkproduk kopi foto kbri moskow inidiplomasi indonesiauntukdunia kopiindonesia indonesiancoffee prodexpobelarus mayorarusia kbrimoskow indonesiainbelarus","Moscow"
"188","endomikuah","selamat ayang",""
"189","fakhrifadzli","biji kopi minggu ini untuk v sidamo keramo dari ethiopia dengan lavender jasmine and floral taste note esok baru nak cuba hari ini deh cukup dos kafein","Dapatkan Buku Saya:"
"190","endomikuah","sudah mengalah dan diam saja enggak ngomel enggak mengomong apa apa biar enggak tambah kesel eh malah di antagonizing huft memang lah ya salah mulu gua napas saja salah apa mati saja gua",""
"191","terejawantah","bersama biji kopi",""
"192","endomikuah","true yang paling penting tuh interface nya beginner friendly",""
"193","endomikuah","padahal belum debut and at that time i was like alright im gonna stan this man lets sih what he can di more ini the future lah sekarang jadi rebutan stay bias lain juga",""
"194","endomikuah","ada tuh yang lagi perform terus kepleset jatuh eh langsung berdiri lagi seolah enggak ada apa apa",""
"195","endomikuah","yanto kembang",""
"196","endomikuah","iya gpph entar kita cari duit yang banyak biar bisa foya foya mau makan bakso lima porsi juga gapapa pakai duit ndiri",""
"197","TimotiusDaniel","cek kopi robusta lampung brazica gram gold quality biji bubuk dengan harga rp dapatkan di shopee sekarang",""
